FruMA,
Septin4,
18w,
4EHP,
5-HT2,
A2bp1,
Aats-arg,
aay,
Abd-B,
Abl,
Ac76E,
Ac78C,
ACC,
AcCoAS,
Ace,
Acer,
Ack,
Acp24A4,
Acsl,
Act5C,
Act88F,
Actn,
Ada2b,
ade5,
Adgf-A,
Adgf-C,
Adgf-D,
Adh,
Adhr,
Adk1,
Adk2,
Adk3,
AdoR,
Ag5r,
AGO1,
Ahcy89E,
Akap200,
al,
Ald,
Aldh,
Aldh-III,
Alh,
Alk,
alpha-Adaptin,
alpha-Est10,
alpha-Est7,
alpha-Est8,
alpha-Est9,
alpha-Man-I,
alpha-Man-II,
alt,
Ama,
amn,
Amph,
ana,
Ance,
Ank,
Antp,
aop,
aos,
Aph-4,
aPKC,
app,
apt,
aralar1,
Arc-p34,
Arf51F,
Argk,
arr,
aru,
Asap1,
Asator,
asl,
asparagine-synthetase,
Asph,
Atf3,
Atg1,
Atg12,
Atg13,
Atg5,
atilla,
atl,
ATP7,
Atpalpha,
ATPCL,
ATPsyn-d,
att-ORFA,
Atx2,
aux,
Awh,
B4,
bab1,
babos,
Baldspot,
baz,
bbg,
BBS4,
bchs,
bdg,
be,
beat-Ib,
beat-IIIc,
bel,
Best2,
beta-Spec,
beta4GalNAcTA,
betaCop,
betaggt-II,
betaTub60D,
BG642312,
bgm,
bic,
bif,
bin3,
bip1,
bl,
blot,
blow,
BM-40-SPARC,
bmm,
bnb,
bnl,
boi,
bol,
bon,
bond,
bowl,
br,
Br140,
brat,
brm,
bru-2,
Bsg,
Btk29A,
btsz,
Bub1,
bun,
bur,
bves,
bwa,
Bx,
by,
c11.1,
c12.2,
C1GalTA,
C3G,
Ca-beta,
cact,
CadN2,
CAH1,
CAH2,
CalpA,
cals,
Cam,
CanA-14F,
CanA1,
CAP,
Capr,
caps,
capu,
CASK,
Cbs,
cbt,
CcapR,
CCHa2r,
CCS,
Cct1,
CD98hc,
Cda4,
Cda5,
CDase,
cdc14,
CdGAPr,
cdi,
Cdk12,
Cdk4,
ced-6,
cenG1A,
Cerk,
cert,
Cfp1,
cg,
CG10006,
CG10013,
CG10014,
CG10026,
CG10031,
CG10082,
CG10089,
CG10126,
CG10137,
CG10163,
CG10165,
CG10184,
CG1021,
CG10226,
CG10237,
CG10249,
CG10280,
CG10283,
CG10311,
CG10321,
CG10337,
CG10343,
CG10347,
CG10348,
CG10353,
CG10359,
CG10365,
CG10383,
CG10417,
CG10433,
CG10444,
CG10492,
CG10512,
CG10527,
CG10550,
CG10559,
CG10562,
CG10625,
CG10638,
