FruMC,
Sep-04,
14-3-3epsilon,
18w,
4EHP,
5-HT2,
a,
A2bp1,
Aats-his,
aay,
abd-A,
Abd-B,
Abl,
Ac3,
Ac76E,
ACC,
AcCoAS,
Ace,
Ack,
Acp26Aa,
Acp26Ab,
Acp36DE,
Acp63F,
Acp76A,
Acsl,
Act42A,
Act57B,
Act5C,
Actbeta,
Actn,
ade3,
ade5,
Adgf-A,
Adgf-D,
Adh,
Adhr,
AdoR,
Ady43A,
Aef1,
ago,
AGO1,
Akap200,
al,
Ald,
Aldh,
Aldh-III,
Alh,
Alk,
AlkB,
alpha-Adaptin,
alpha-Est10,
alpha-Est6,
alpha-Est7,
alpha-Est8,
alpha-Est9,
alpha-Man-I,
alpha-Man-II,
alpha-Man-IIb,
alphagamma-element:CR32865,
alphaTub84B,
alt,
Ama,
amn,
Amph,
Amun,
ana,
Ance-3,
Ank,
Ank2,
Anp,
Ant2,
Antp,
Anxb11,
aop,
aos,
ap,
AP-1gamma,
AP-2,
Apc,
Apc10,
Apc7,
Aph-4,
aPKC,
Aplip1,
Appl,
apt,
ara,
aralar1,
Arc-p34,
Arf51F,
Arf79F,
arg,
Argk,
ari-2,
Ark,
arm,
Arpc3B,
arr,
Arr2,
Art9,
aru,
Asator,
ase,
ash2,
asp,
Asph,
ASPP,
Atet,
Atf3,
Atg1,
Atg13,
Atg18,
Atg5,
Atg8a,
atilla,
atl,
ato,
Atpalpha,
ATPCL,
ATPsyn-beta,
att-ORFA,
Atx2,
aub,
Awh,
Axn,
axo,
B-H1,
B-H2,
B4,
bab1,
bab2,
babos,
baf,
Baldspot,
bap,
Bap170,
baz,
bbg,
bbx,
bchs,
bdg,
be,
beat-Ib,
beat-Ic,
beat-IIIc,
bel,
Best4,
Bet1,
Bet3,
beta-Spec,
betaTub56D,
betaTub60D,
bgm,
bi,
BI-1,
bib,
bif,
bin3,
bip1,
bip2,
bl,
Blimp-1,
blot,
blow,
BM-40-SPARC,
bmm,
bnb,
bnl,
BobA,
boca,
boi,
bon,
bou,
bowl,
br,
brat,
Brd,
brm,
bru-2,
bs,
Bsg,
bsh,
bt,
btd,
Btk29A,
Bub1,
bun,
bves,
bwa,
Bx,
bxd,
by,
c-cup,
C15,
C1GalTA,
C3G,
cact,
Cad74A,
Cad86C,
Cad96Ca,
Cad99C,
CadN,
CadN2,
Caf1-180,
CAH1,
CalpA,
CalpB,
cals,
Cam,
can,
CanA-14F,
CAP,
Cap-H2,
capaR,
caps,
capt,
capu,
cas,
CASK,
Cat,
caup,
cav,
caz,
CBP,
cbt,
cbx,
Cby,
CcapR,
Ccp84Ab,
Ccp84Af,
Ccp84Ag,
Cct1,
CD98hc,
Cda5,
CDase,
cdc14,
Cdep,
CdGAPr,
cdi,
Cdk12,
Cdk4,
CecA1,
CecB,
CecC,
ced-6,
cenG1A,
Cerk,
cert,
cg,
CG10006,
CG10011,
CG10013,
CG10026,
CG10082,
CG10086,
CG10107,
CG10126,
CG10137,
CG10157,
CG10165,
CG10177,
CG10178,
CG10184,
CG10200,
CG10202,
CG10205,
CG10208,
CG1021,
CG10222,
CG10237,
CG10249,
CG10277,
CG10286,
CG10311,
CG10317,
CG10321,
